Sp,Type,Obs,cloud,avgdiam,gramforb,slope,ros,sum.days.over.21,wint.days.below.neg5,evi
HOMA,Scat,0,80,5,7,0.365714133,0.168370068,15,115,0.217826217
HOMA,Vocal,0,80,5,7,0.365714133,0.168370068,15,115,0.217826217
HOMA,Indiv,0,100,2,8,0.477544457,0.213218093,16,109,0.315073729
HOMA,Scat,1,100,2,8,0.477544457,0.213218093,16,109,0.315073729
HOMA,Vocal,0,100,2,8,0.477544457,0.213218093,16,109,0.315073729
HOMA,Indiv,0,40,5,7,0.48638773,0.187509179,14,117,0.277687788
HOMA,Scat,0,40,5,7,0.48638773,0.187509179,14,117,0.277687788
HOMA,Vocal,0,40,5,7,0.48638773,0.187509179,14,117,0.277687788
HOMA,Indiv,0,80,3,3,0.65205127,0.219728872,16,119,0.205721796
HOMA,Scat,NA,80,3,3,0.65205127,0.219728872,16,119,0.205721796
HOMA,Vocal,0,80,3,3,0.65205127,0.219728872,16,119,0.205721796
HOMA,Indiv,0,75,1,5,0.03092749,0.201290146,15,110,0.323652685
HOMA,Scat,0,75,1,5,0.03092749,0.201290146,15,110,0.323652685
HOMA,Vocal,0,75,1,5,0.03092749,0.201290146,15,110,0.323652685
HOMA,Indiv,0,75,20,6,0.563928962,0.213218093,14,107,0.316866487
HOMA,Scat,0,75,20,6,0.563928962,0.213218093,14,107,0.316866487
HOMA,Vocal,0,75,20,6,0.563928962,0.213218093,14,107,0.316866487
HOMA,Indiv,0,75,10,8,0.482699871,0.213218093,14,107,0.30853796
HOMA,Scat,0,75,10,8,0.482699871,0.213218093,14,107,0.30853796
HOMA,Vocal,0,75,10,8,0.482699871,0.213218093,14,107,0.30853796
HOMA,Indiv,0,85,20,6,0.533782959,0.213218093,14,107,0.340544641
HOMA,Scat,1,85,20,6,0.533782959,0.213218093,14,107,0.340544641
HOMA,Vocal,0,85,20,6,0.533782959,0.213218093,14,107,0.340544641
HOMA,Indiv,0,85,4,5,0.136366382,0.187509179,13,109,0.181294575
HOMA,Scat,NA,85,4,5,0.136366382,0.187509179,13,109,0.181294575
HOMA,Vocal,0,85,4,5,0.136366382,0.187509179,13,109,0.181294575
HOMA,Indiv,0,95,NA,2,0.018330712,0.18989867,17,107,0.335977674
HOMA,Scat,0,95,NA,2,0.018330712,0.18989867,17,107,0.335977674
HOMA,Vocal,0,95,NA,2,0.018330712,0.18989867,17,107,0.335977674
HOMA,Indiv,0,80,30,6,0.469789177,0.213218093,9,105,0.2501477
HOMA,Scat,0,80,30,6,0.469789177,0.213218093,9,105,0.2501477
HOMA,Vocal,0,80,30,6,0.469789177,0.213218093,9,105,0.2501477
HOMA,Indiv,0,70,60,2,0.622602165,0.213218093,9,105,0.220699832
HOMA,Scat,0,70,60,2,0.622602165,0.213218093,9,105,0.220699832
HOMA,Vocal,0,70,60,2,0.622602165,0.213218093,9,105,0.220699832
HOMA,Indiv,0,50,5,3,0.696598947,0.168370068,15,117,0.264661998
HOMA,Scat,0,50,5,3,0.696598947,0.168370068,15,117,0.264661998
HOMA,Vocal,0,50,5,3,0.696598947,0.168370068,15,117,0.264661998
HOMA,Indiv,0,100,50,6,0.493843436,0.201290146,13,116,0.189577669
HOMA,Scat,2,100,50,6,0.493843436,0.201290146,13,116,0.189577669
HOMA,Vocal,1,100,50,6,0.493843436,0.201290146,13,116,0.189577669
HOMA,Indiv,0,15,3,2,0.618944764,0.219728872,17,113,0.148125604
HOMA,Scat,NA,15,3,2,0.618944764,0.219728872,17,113,0.148125604
HOMA,Vocal,0,15,3,2,0.618944764,0.219728872,17,113,0.148125604
HOMA,Indiv,0,65,70,9,0.528331518,0.185783505,16,113,0.346110463
HOMA,Scat,0,65,70,9,0.528331518,0.185783505,16,113,0.346110463
HOMA,Vocal,1,65,70,9,0.528331518,0.185783505,16,113,0.346110463
HOMA,Indiv,0,0,60,8,0.472923368,0.166793287,8,112,0.284696609
HOMA,Scat,0,0,60,8,0.472923368,0.166793287,8,112,0.284696609
HOMA,Vocal,0,0,60,8,0.472923368,0.166793287,8,112,0.284696609
HOMA,Indiv,0,5,80,5,0.685290337,0.166793287,8,112,0.284696609
HOMA,Scat,0,5,80,5,0.685290337,0.166793287,8,112,0.284696609
HOMA,Vocal,0,5,80,5,0.685290337,0.166793287,8,112,0.284696609
HOMA,Indiv,0,5,80,6,0.449230522,0.166793287,8,112,0.249518231
HOMA,Scat,0,5,80,6,0.449230522,0.166793287,8,112,0.249518231
HOMA,Vocal,0,5,80,6,0.449230522,0.166793287,8,112,0.249518231
HOMA,Indiv,0,95,6,2,0.659336984,0.219728872,12,118,0.097583219
HOMA,Scat,0,95,6,2,0.659336984,0.219728872,12,118,0.097583219
HOMA,Vocal,0,95,6,2,0.659336984,0.219728872,12,118,0.097583219
HOMA,Indiv,0,20,10,6,0.631916225,0.192483574,16,112,0.252654195
HOMA,Scat,0,20,10,6,0.631916225,0.192483574,16,112,0.252654195
HOMA,Vocal,0,20,10,6,0.631916225,0.192483574,16,112,0.252654195
HOMA,Indiv,0,25,15,3,0.254919231,0.166793287,7,110,0.095588624
HOMA,Scat,0,25,15,3,0.254919231,0.166793287,7,110,0.095588624
HOMA,Vocal,0,25,15,3,0.254919231,0.166793287,7,110,0.095588624
HOMA,Indiv,0,5,5,2,0.602783084,0.168370068,13,109,0.25442186
HOMA,Scat,0,5,5,2,0.602783084,0.168370068,13,109,0.25442186
HOMA,Vocal,0,5,5,2,0.602783084,0.168370068,13,109,0.25442186
HOMA,Indiv,0,90,1,10,0.238267943,0.223077491,12,122,0.291992545
HOMA,Scat,0,90,1,10,0.238267943,0.223077491,12,122,0.291992545
HOMA,Vocal,0,90,1,10,0.238267943,0.223077491,12,122,0.291992545
HOMA,Indiv,0,40,2,3,0.587533236,0.201290146,15,110,0.25301832
HOMA,Scat,0,40,2,3,0.587533236,0.201290146,15,110,0.25301832
HOMA,Vocal,0,40,2,3,0.587533236,0.201290146,15,110,0.25301832
HOMA,Indiv,0,50,15,5,0.454868406,0.201290146,15,110,0.25301832
HOMA,Scat,0,50,15,5,0.454868406,0.201290146,15,110,0.25301832
HOMA,Vocal,0,50,15,5,0.454868406,0.201290146,15,110,0.25301832
HOMA,Indiv,0,70,2,3,0.428510845,0.219728872,11,112,0.089565262
HOMA,Scat,0,70,2,3,0.428510845,0.219728872,11,112,0.089565262
HOMA,Vocal,0,70,2,3,0.428510845,0.219728872,11,112,0.089565262
HOMA,Indiv,0,95,3,6,0.438929886,0.168370068,14,116,0.244412392
HOMA,Scat,0,95,3,6,0.438929886,0.168370068,14,116,0.244412392
HOMA,Vocal,0,95,3,6,0.438929886,0.168370068,14,116,0.244412392
HOMA,Indiv,0,10,3,3,0.645077825,0.192483574,16,112,0.327403396
HOMA,Scat,0,10,3,3,0.645077825,0.192483574,16,112,0.327403396
HOMA,Vocal,0,10,3,3,0.645077825,0.192483574,16,112,0.327403396
HOMA,Indiv,0,75,3,8,0.242757365,0.201290146,15,114,0.2818591
HOMA,Scat,0,75,3,8,0.242757365,0.201290146,15,114,0.2818591
HOMA,Vocal,0,75,3,8,0.242757365,0.201290146,15,114,0.2818591
HOMA,Indiv,0,5,3,1,0.503297806,0.219728872,17,113,0.135539383
HOMA,Scat,NA,5,3,1,0.503297806,0.219728872,17,113,0.135539383
HOMA,Vocal,0,5,3,1,0.503297806,0.219728872,17,113,0.135539383
HOMA,Indiv,0,100,10,3,0.44554764,0.213218093,11,104,0.121071272
HOMA,Scat,0,100,10,3,0.44554764,0.213218093,11,104,0.121071272
HOMA,Vocal,0,100,10,3,0.44554764,0.213218093,11,104,0.121071272
HOMA,Indiv,0,1,12.5,3,0.52591908,0.219728872,18,113,0.135539383
HOMA,Scat,NA,1,12.5,3,0.52591908,0.219728872,18,113,0.135539383
HOMA,Vocal,1,1,12.5,3,0.52591908,0.219728872,18,113,0.135539383
HOMA,Indiv,0,100,10,1,0.451921552,0.166793287,9,110,0.049277928
HOMA,Scat,0,100,10,1,0.451921552,0.166793287,9,110,0.049277928
HOMA,Vocal,0,100,10,1,0.451921552,0.166793287,9,110,0.049277928
HOMA,Indiv,0,100,3,3,0.683332205,0.168370068,14,116,0.090531245
HOMA,Scat,NA,100,3,3,0.683332205,0.168370068,14,116,0.090531245
HOMA,Vocal,0,100,3,3,0.683332205,0.168370068,14,116,0.090531245
HOMA,Indiv,0,70,40,3,0.327583879,0.201290146,15,110,0.242391676
HOMA,Scat,0,70,40,3,0.327583879,0.201290146,15,110,0.242391676
HOMA,Vocal,0,70,40,3,0.327583879,0.201290146,15,110,0.242391676
HOMA,Indiv,0,100,50,2,0.541517377,0.166793287,8,107,0.119038388
HOMA,Scat,0,100,50,2,0.541517377,0.166793287,8,107,0.119038388
HOMA,Vocal,0,100,50,2,0.541517377,0.166793287,8,107,0.119038388
HOMA,Indiv,0,70,11,6,0.459192336,0.193023041,17,93,0.427146554
HOMA,Scat,0,70,11,6,0.459192336,0.193023041,17,93,0.427146554
HOMA,Vocal,0,70,11,6,0.459192336,0.193023041,17,93,0.427146554
HOMA,Indiv,0,100,NA,4,0.510748982,0.131431028,15,108,0.321160048
HOMA,Scat,NA,100,NA,4,0.510748982,0.131431028,15,108,0.321160048
HOMA,Vocal,0,100,NA,4,0.510748982,0.131431028,15,108,0.321160048
HOMA,Indiv,0,100,20,4,0.487946719,0.131379485,18,107,0.424436808
HOMA,Scat,NA,100,20,4,0.487946719,0.131379485,18,107,0.424436808
HOMA,Vocal,0,100,20,4,0.487946719,0.131379485,18,107,0.424436808
HOMA,Indiv,0,40,15,7,0.512043178,0.213218093,14,107,0.330728829
HOMA,Scat,0,40,15,7,0.512043178,0.213218093,14,107,0.330728829
HOMA,Vocal,0,40,15,7,0.512043178,0.213218093,14,107,0.330728829
HOMA,Indiv,0,100,5,2,0.57624507,0.219728872,15,120,0.246549845
HOMA,Scat,0,100,5,2,0.57624507,0.219728872,15,120,0.246549845
HOMA,Vocal,0,100,5,2,0.57624507,0.219728872,15,120,0.246549845
HOMA,Indiv,0,100,10,5,0.502055526,0.201290146,16,115,0.253562152
HOMA,Scat,0,100,10,5,0.502055526,0.201290146,16,115,0.253562152
HOMA,Vocal,0,100,10,5,0.502055526,0.201290146,16,115,0.253562152
HOMA,Indiv,0,45,50,8,0.544538915,0.213218093,12,107,0.425354302
HOMA,Scat,0,45,50,8,0.544538915,0.213218093,12,107,0.425354302
HOMA,Vocal,0,45,50,8,0.544538915,0.213218093,12,107,0.425354302
HOMA,Indiv,0,100,20,4,0.551492512,0.173289999,16,112,0.206231892
HOMA,Scat,0,100,20,4,0.551492512,0.173289999,16,112,0.206231892
HOMA,Vocal,0,100,20,4,0.551492512,0.173289999,16,112,0.206231892
HOMA,Indiv,0,60,2,2,0.833452463,0.187509179,14,116,0.278548419
HOMA,Scat,NA,60,2,2,0.833452463,0.187509179,14,116,0.278548419
HOMA,Vocal,0,60,2,2,0.833452463,0.187509179,14,116,0.278548419
HOMA,Indiv,0,100,30,10,0.550895572,0.213218093,19,106,0.466589808
HOMA,Scat,0,100,30,10,0.550895572,0.213218093,19,106,0.466589808
HOMA,Vocal,0,100,30,10,0.550895572,0.213218093,19,106,0.466589808
HOMA,Indiv,0,100,3,4,0.533588767,0.192483574,15,115,0.401205659
HOMA,Scat,0,100,3,4,0.533588767,0.192483574,15,115,0.401205659
HOMA,Vocal,0,100,3,4,0.533588767,0.192483574,15,115,0.401205659
HOMA,Indiv,0,100,0.2,5,0.400073171,0.201290146,18,114,0.232922375
HOMA,Scat,0,100,0.2,5,0.400073171,0.201290146,18,114,0.232922375
HOMA,Vocal,0,100,0.2,5,0.400073171,0.201290146,18,114,0.232922375
HOMA,Indiv,0,10,2,2,0.628627419,0.168370068,13,118,0.161313131
HOMA,Scat,NA,10,2,2,0.628627419,0.168370068,13,118,0.161313131
HOMA,Vocal,0,10,2,2,0.628627419,0.168370068,13,118,0.161313131
HOMA,Indiv,0,90,2,5,0.638800263,0.192483574,14,116,0.265045017
HOMA,Scat,0,90,2,5,0.638800263,0.192483574,14,116,0.265045017
HOMA,Vocal,0,90,2,5,0.638800263,0.192483574,14,116,0.265045017
HOMA,Indiv,0,75,5,4,0.603817761,0.201290146,15,114,0.2818591
HOMA,Scat,0,75,5,4,0.603817761,0.201290146,15,114,0.2818591
HOMA,Vocal,0,75,5,4,0.603817761,0.201290146,15,114,0.2818591
HOMA,Indiv,0,20,10,8,0.542961061,0.193446085,17,104,0.33987093
HOMA,Scat,0,20,10,8,0.542961061,0.193446085,17,104,0.33987093
HOMA,Vocal,0,20,10,8,0.542961061,0.193446085,17,104,0.33987093
HOMA,Indiv,0,100,3,4,0.651679873,0.168370068,15,117,0.157141954
HOMA,Scat,NA,100,3,4,0.651679873,0.168370068,15,117,0.157141954
HOMA,Vocal,0,100,3,4,0.651679873,0.168370068,15,117,0.157141954
HOMA,Indiv,0,95,2,9,0.424053431,0.185783505,14,111,0.203030571
HOMA,Scat,0,95,2,9,0.424053431,0.185783505,14,111,0.203030571
HOMA,Vocal,0,95,2,9,0.424053431,0.185783505,14,111,0.203030571
HOMA,Indiv,1,95,60,4,0.679415941,0.166793287,9,110,0.111382425
HOMA,Scat,2,95,60,4,0.679415941,0.166793287,9,110,0.111382425
HOMA,Vocal,1,95,60,4,0.679415941,0.166793287,9,110,0.111382425
HOMA,Indiv,0,100,40,6,0.381694764,0.166793287,8,107,0.119038388
HOMA,Scat,0,100,40,6,0.381694764,0.166793287,8,107,0.119038388
HOMA,Vocal,1,100,40,6,0.381694764,0.166793287,8,107,0.119038388
HOMA,Indiv,0,15,12.5,4,0.575503051,0.185783505,17,101,0.298387617
HOMA,Scat,NA,15,12.5,4,0.575503051,0.185783505,17,101,0.298387617
HOMA,Vocal,0,15,12.5,4,0.575503051,0.185783505,17,101,0.298387617
HOMA,Indiv,0,80,15,8,0.708142996,0.192483574,16,117,0.312213659
HOMA,Scat,0,80,15,8,0.708142996,0.192483574,16,117,0.312213659
HOMA,Vocal,0,80,15,8,0.708142996,0.192483574,16,117,0.312213659
HOMA,Indiv,0,100,10,3,0.38308832,0.201290146,13,116,0.25832656
HOMA,Scat,0,100,10,3,0.38308832,0.201290146,13,116,0.25832656
HOMA,Vocal,0,100,10,3,0.38308832,0.201290146,13,116,0.25832656
HOMA,Indiv,0,10,3,1,0.652466714,0.219728872,11,112,0.216593131
HOMA,Scat,NA,10,3,1,0.652466714,0.219728872,11,112,0.216593131
HOMA,Vocal,0,10,3,1,0.652466714,0.219728872,11,112,0.216593131
HOMA,Indiv,0,90,10,2,0.622590721,0.192483574,14,116,0.210534349
HOMA,Scat,0,90,10,2,0.622590721,0.192483574,14,116,0.210534349
HOMA,Vocal,0,90,10,2,0.622590721,0.192483574,14,116,0.210534349
HOMA,Indiv,0,10,30,6,0.442061454,0.213218093,11,104,0.224794164
HOMA,Scat,0,10,30,6,0.442061454,0.213218093,11,104,0.224794164
HOMA,Vocal,0,10,30,6,0.442061454,0.213218093,11,104,0.224794164
HOMA,Indiv,0,55,2,5,0.340958446,0.185783505,14,111,0.129751414
HOMA,Scat,0,55,2,5,0.340958446,0.185783505,14,111,0.129751414
HOMA,Vocal,0,55,2,5,0.340958446,0.185783505,14,111,0.129751414
HOMA,Indiv,0,80,10,NA,0.750945091,0.192483574,16,117,0.256461948
HOMA,Scat,NA,80,10,NA,0.750945091,0.192483574,16,117,0.256461948
HOMA,Vocal,0,80,10,NA,0.750945091,0.192483574,16,117,0.256461948
HOMA,Indiv,0,85,5,3,0.339217722,0.201290146,15,110,0.242873728
HOMA,Scat,0,85,5,3,0.339217722,0.201290146,15,110,0.242873728
HOMA,Vocal,0,85,5,3,0.339217722,0.201290146,15,110,0.242873728
HOMA,Indiv,0,20,30,4,0.519579768,0.192483574,17,106,0.107444249
HOMA,Scat,0,20,30,4,0.519579768,0.192483574,17,106,0.107444249
HOMA,Vocal,0,20,30,4,0.519579768,0.192483574,17,106,0.107444249
HOMA,Indiv,0,80,2,0,0.588942528,0.185783505,12,110,0.136752397
HOMA,Scat,NA,80,2,0,0.588942528,0.185783505,12,110,0.136752397
HOMA,Vocal,0,80,2,0,0.588942528,0.185783505,12,110,0.136752397
HOMA,Indiv,0,65,10,2,0.480416924,0.201290146,15,110,0.242391676
HOMA,Scat,0,65,10,2,0.480416924,0.201290146,15,110,0.242391676
HOMA,Vocal,0,65,10,2,0.480416924,0.201290146,15,110,0.242391676
HOMA,Indiv,0,10,7.5,2,0.66477567,0.185783505,13,118,0.163144916
HOMA,Scat,0,10,7.5,2,0.66477567,0.185783505,13,118,0.163144916
HOMA,Vocal,0,10,7.5,2,0.66477567,0.185783505,13,118,0.163144916
HOMA,Indiv,0,0,1,1,0.60679543,0.219728872,18,113,0.129233733
HOMA,Scat,NA,0,1,1,0.60679543,0.219728872,18,113,0.129233733
HOMA,Vocal,1,0,1,1,0.60679543,0.219728872,18,113,0.129233733
HOMA,Indiv,0,5,12.5,5,0.427852988,0.166793287,8,106,0.13793087
HOMA,Scat,0,5,12.5,5,0.427852988,0.166793287,8,106,0.13793087
HOMA,Vocal,0,5,12.5,5,0.427852988,0.166793287,8,106,0.13793087
HOMA,Indiv,0,50,15,3,0.596895754,0.201290146,15,110,0.237697572
HOMA,Scat,0,50,15,3,0.596895754,0.201290146,15,110,0.237697572
HOMA,Vocal,0,50,15,3,0.596895754,0.201290146,15,110,0.237697572
